Department,text,Subtype
Youth Welfare and Sports Development Department (YOUTHSP),I have a complaint regarding gym equipment.,Gym Equipment
Public Elections Department (ELECTION),Please look into this candidate malpractice matter.,Candidate Malpractice
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Handicraft Artisan Loan,Handicraft Artisan Loan
Industries Department (IND),I have a complaint regarding industrial subsidy delay.,Industrial Subsidy Delay
School Education Department (SCHOOL),Complaint regarding School Building Dilapidated,School Building Dilapidated
Revenue and Disaster Management Department (REV),Problem faced: land survey request.,Land Survey Request
Social Welfare and Women Empowerment Department (SWNM),My grievance is about working women hostel.,Working Women Hostel
Human Resources Management Department (PAR),Please look into this service register entry missing matter.,Service Register Entry Missing
Environment Climate Change and Forests Department (ENVFOR),I have a complaint regarding illegal tree cutting.,Illegal Tree Cutting
Handlooms Handicrafts Textiles and Khadi Department (HHTK),"Issue with weaver id card issue, please resolve.",Weaver ID Card Issue
Adi Dravidar and Tribal Welfare Department (ADW),Complaint regarding Hostel Facility - ADW,Hostel Facility - ADW
Welfare of Differently Abled Persons (DIFFABLE),Complaint against DIFFABLE for tricycle/scooter request.,Tricycle/Scooter Request
Public Department (PUBLIC),My grievance is about law and order general.,Law and Order General
Revenue and Disaster Management Department (REV),Problem faced: old age pension (oap).,Old Age Pension (OAP)
Public Works Department (PWD),I have a complaint regarding irrigation canal cleaning.,Irrigation Canal Cleaning
Water Resources Department (WRD),"Issue with river sand mining, please resolve.",River Sand Mining
Co-operation Food and Consumer Protection Department (FOODCO),Problem faced: ration shop closed.,Ration Shop Closed
Co-operation Food and Consumer Protection Department (FOODCO),Please look into this ration rice quality matter.,Ration Rice Quality
Municipal Administration and Water Supply Department (MAWS),Water is not coming for 3 days,No Water Supply
Welfare of Differently Abled Persons (DIFFABLE),"Issue with special school admission, please resolve.",Special School Admission
BC MBC and Minorities Welfare Department (BCMBC),My grievance is about scholarship - bc/mbc.,Scholarship - BC/MBC
Public Works Department (PWD),We are suffering due to govt building maintenance.,Govt Building Maintenance
Law Department (LAW),Report on government pleader issue.,Government Pleader Issue
Youth Welfare and Sports Development Department (YOUTHSP),"Issue with playground maintenance, please resolve.",Playground Maintenance
Public Department (PUBLIC),Please look into this ex-servicemen welfare matter.,Ex-Servicemen Welfare
Highways and Minor Ports Department (HWY),Requesting help with bridge construction delay.,Bridge Construction Delay
Legislative Assembly Department (LEGIS),Problem faced: mla constituency fund.,MLA Constituency Fund
Health and Family Welfare Department (HEALTH),Urgent action needed on medicine shortage.,Medicine Shortage
Law Department (LAW),I have a complaint regarding government pleader issue.,Government Pleader Issue
Public Department (PUBLIC),Chief Minister's Special Cell,Chief Minister's Special Cell
Law Department (LAW),My grievance is about court case pending.,Court Case Pending
Welfare of Differently Abled Persons (DIFFABLE),We are suffering due to accessibility in public buildings.,Accessibility in Public Buildings
Tourism Culture and Religious Endowments Department (TOURCUL),Annadhanam Quality issue,Annadhanam Quality
Industries Department (IND),Requesting help with industrial safety violation.,Industrial Safety Violation
Public Department (PUBLIC),Problem faced: law and order general.,Law and Order General
Higher Education Department (HIGHEDU),Urgent action needed on university exam results.,University Exam Results
Energy Department (ENERGY),Please look into this new connection delay matter.,New Connection Delay
Welfare of Differently Abled Persons (DIFFABLE),My grievance is about special school admission.,Special School Admission
Water Resources Department (WRD),I have a complaint regarding canal encroachment.,Canal Encroachment
Revenue and Disaster Management Department (REV),"Issue with old age pension (oap), please resolve.",Old Age Pension (OAP)
Special Programme Implementation (SPI),I have a complaint regarding announcement implementation.,Announcement Implementation
Environment Climate Change and Forests Department (ENVFOR),Plastic Waste Ban Violation issue,Plastic Waste Ban Violation
Commercial Taxes and Registration Department (CTREG),We are suffering due to tax refund delay.,Tax Refund Delay
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Yarn Subsidy Not Received issue,Yarn Subsidy Not Received
Agriculture and Farmers welfares Department (AGRI),Urgent action needed on farm machinery subsidy.,Farm Machinery Subsidy
Welfare of Differently Abled Persons (DIFFABLE),Special School Admission issue,Special School Admission
Water Resources Department (WRD),Urgent action needed on canal encroachment.,Canal Encroachment
Micro Small and Medium Enterprises Department (MSME),Udyam Registration Error,Udyam Registration Error
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Problem faced: co-optex sales payment.,Co-optex Sales Payment
Youth Welfare and Sports Development Department (YOUTHSP),Sports Scholarship issue,Sports Scholarship
Labour Welfare and Skill Development Department (LBREMP),Requesting help with unfair dismissal.,Unfair Dismissal
Revenue and Disaster Management Department (REV),My grievance is about patta / chitta transfer.,Patta / Chitta Transfer
Co-operation Food and Consumer Protection Department (FOODCO),My grievance is about co-operative loan issue.,Co-operative Loan Issue
Social Welfare and Women Empowerment Department (SWNM),Complaint against SWNM for marriage assistance scheme.,Marriage Assistance Scheme
Tamil Dev. and Information Department (TAMINF),Press/Media Accreditation issue,Press/Media Accreditation
Energy Department (ENERGY),My grievance is about meter fault / replacement.,Meter Fault / Replacement
Industries Department (IND),My grievance is about industrial safety violation.,Industrial Safety Violation
Social Welfare and Women Empowerment Department (SWNM),My grievance is about domestic violence helpline.,Domestic Violence Helpline
Finance Department (FIN),Requesting help with treasury bill pending.,Treasury Bill Pending
Tamil Dev. and Information Department (TAMINF),Problem faced: tamil scholar pension.,Tamil Scholar Pension
Transport Department (TRANS),Complaint regarding Overcrowding in Bus,Overcrowding in Bus
Environment Climate Change and Forests Department (ENVFOR),My grievance is about plastic waste ban violation.,Plastic Waste Ban Violation
Transport Department (TRANS),Report on overcrowding in bus.,Overcrowding in Bus
Co-operation Food and Consumer Protection Department (FOODCO),Please look into this ration shop closed matter.,Ration Shop Closed
Adi Dravidar and Tribal Welfare Department (ADW),Complaint against ADW for hostel facility - adw.,Hostel Facility - ADW
Public Elections Department (ELECTION),Complaint regarding Voter ID Card Not Received,Voter ID Card Not Received
Tourism Culture and Religious Endowments Department (TOURCUL),Problem faced: heritage site protection.,Heritage Site Protection
Labour Welfare and Skill Development Department (LBREMP),Problem faced: unfair dismissal.,Unfair Dismissal
Health and Family Welfare Department (HEALTH),Problem faced: 108 ambulance delay.,108 Ambulance Delay
Highways and Minor Ports Department (HWY),Requesting help with state highway potholes.,State Highway Potholes
Agriculture and Farmers welfares Department (AGRI),We are suffering due to fertilizer shortage.,Fertilizer Shortage
Municipal Administration and Water Supply Department (MAWS),Problem faced: no water supply.,No Water Supply
Public Elections Department (ELECTION),Complaint regarding Name Missing in Voter List,Name Missing in Voter List
Labour Welfare and Skill Development Department (LBREMP),Minimum Wages Violation issue,Minimum Wages Violation
Information Technology Department (IT),Broadband Connectivity Infrastructure issue,Broadband Connectivity Infrastructure
Housing and Urban Development Department (HUD),DTCP Approval Delay issue,DTCP Approval Delay
Public Works Department (PWD),"Issue with pwd guest house booking, please resolve.",PWD Guest House Booking
Co-operation Food and Consumer Protection Department (FOODCO),I have a complaint regarding co-operative loan issue.,Co-operative Loan Issue
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Urgent action needed on boat diesel subsidy.,Boat Diesel Subsidy
Co-operation Food and Consumer Protection Department (FOODCO),Problem faced: co-operative loan issue.,Co-operative Loan Issue
Youth Welfare and Sports Development Department (YOUTHSP),Requesting help with gym equipment.,Gym Equipment
Revenue and Disaster Management Department (REV),I have a complaint regarding old age pension (oap).,Old Age Pension (OAP)
Tourism Culture and Religious Endowments Department (TOURCUL),Problem faced: tourist spot facilities.,Tourist Spot Facilities
Public Works Department (PWD),I have a complaint regarding govt building maintenance.,Govt Building Maintenance
Human Resources Management Department (PAR),We are suffering due to disciplinary action appeal.,Disciplinary Action Appeal
Legislative Assembly Department (LEGIS),I have a complaint regarding mla office not open.,MLA Office Not Open
Social Welfare and Women Empowerment Department (SWNM),My grievance is about widow pension.,Widow Pension
Planning Development Department (PLGDEV),Complaint against PLGDEV for sdg goals monitoring.,SDG Goals Monitoring
